t_ms,eps_a,eps_g
1,0.01721,-0.05444
24,-0.02549,-0.09866
45,0.00424,-0.06742
68,-0.04349,-0.10263
90,-0.01931,-0.11024
112,0.01407,-0.06662
134,0.01625,-0.0688
157,-0.02893,-0.10097
179,-0.07526,-0.10787
201,-0.04969,-0.0851
224,0.02068,-0.06013
245,-0.1242,-0.13064
268,-0.07798,-0.09992
290,0.00668,-0.07145
312,-0.07231,-0.1117
334,-0.01861,-0.09402
357,0.00478,-0.07317
378,-0.12044,-0.14414
401,-0.02114,-0.10097
423,-0.07343,-0.11713
445,-0.01886,-0.06927
467,0.03363,-0.07211
490,-0.11305,-0.13931
512,0.02941,-0.07072
534,0.00145,-0.07046
556,-0.00196,-0.08079
579,-0.10709,-0.13004
600,-0.0625,-0.10495
623,0.02248,-0.06139
645,-0.02205,-0.09634
667,0.0086,-0.10064
689,0.02653,-0.05384
712,-0.01861,-0.09402
734,0.01332,-0.07092
756,0.01869,-0.18846
779,-0.02205,-0.09634
800,-0.10601,-0.14361
823,0.0365,-0.05603
845,-0.02205,-0.09634
867,-0.11418,-0.14474
889,-0.0129,-0.06001
912,-0.06898,-0.11442
933,-0.04797,-0.09939
956,0.0026,-0.07304
978,-0.09296,-0.15056
1001,-0.08802,-0.11078
1022,-0.02205,-0.09634
1045,-0.08631,-0.09211
1067,-0.10488,-0.13818
1089,0.05465,-0.03213
1111,-0.10021,-0.12541
1134,-0.04227,-0.11713
1156,-0.01821,-0.09885
1178,0.04813,-0.05854
1200,-0.01263,-0.06391
1223,0.01415,-0.05563
1246,-0.00108,-0.07741
1267,-0.00342,-0.06834
1290,-0.00744,-0.08185
1312,-0.19164,-0.15759
1335,-0.02589,-0.09383
1356,-0.0979,-0.12852
1379,0.04506,-0.17536
1401,0.00749,-0.08112
1423,-0.04988,-0.10111
1445,-0.10881,-0.14666
1468,-0.01518,-0.09171
1490,-0.04293,-0.08549
1512,-0.11246,-0.12812
1534,0.02863,-0.06701
1557,0.01329,-0.06291
1579,-0.02549,-0.09866
1601,-0.08205,-0.13242
1623,-0.0621,-0.10978
1646,-0.01174,-0.08939
1667,-0.02026,-0.07285
1690,0.02312,-0.06417
1712,-0.02205,-0.09634
1735,-0.01714,-0.08357
1756,-0.01454,-0.06563
1779,0.01893,-0.06874
1802,-0.01787,-0.06292
1824,-0.10295,-0.14242
1846,-0.06315,-0.10422
1868,-0.09113,-0.12892
1891,0.05449,-0.05411
1913,0.01525,-0.07516
1935,-0.00729,-0.05987
1957,-0.02549,-0.09866
1980,0.00362,-0.07264
2001,0.01686,-0.06358
2024,-0.02205,-0.09634
2046,-0.04099,-0.08973
2069,-0.04856,-0.11058
2090,-0.08447,-0.13434
2113,-0.06908,-0.11945
2135,-0.00852,-0.07033
2157,0.01536,-0.07013
2179,-0.02072,-0.05405
2202,0.00064,-0.0608
2224,-0.08262,-0.11866
2246,0.03854,-0.05523
2268,-0.01821,-0.09885
2291,-0.11619,-0.15149
2314,-0.01389,-0.06841
