t_ms,VA,VG,V+,pos_a,pos_g,eps_a,eps_g,erreur,vel_a,vel_g
8,2.3501,2.1163,1.8972,0.8563,4.1851,-0.0146,-0.1903,0.03643,-0.192,-0.906
8,2.4858,2.3216,2.1532,0.827,4.1851,0.0046,-0.1001,0.01003,0.045,-0.985
10,2.3451,2.1065,1.9029,0.827,4.1851,-0.0037,-0.1883,0.03546,-0.084,-1.209
45,2.3551,2.1212,1.8915,0.827,4.1851,-0.0214,-0.195,0.0385,-0.198,-1.26
161,2.3702,2.1457,1.9199,0.827,4.1851,-0.0206,-0.1841,0.03432,-0.112,-1.26
252,2.2747,2.2141,2.0053,0.7977,4.1851,-0.0415,-0.0159,0.00197,-0.286,-1.098
352,2.4808,2.3216,2.1589,0.827,4.1851,0.0073,-0.0927,0.00864,0.073,-0.941
449,2.2647,2.2043,1.9939,0.827,4.1851,-0.0426,-0.0164,0.00208,-0.221,-1.155
552,2.3401,2.1017,1.8744,0.827,4.1851,-0.0189,-0.1983,0.0397,0.007,-0.962
654,2.4808,2.3216,2.1589,0.827,4.1851,0.0073,-0.0927,0.00864,-0.167,-0.949
754,2.1893,2.0821,0.8387,0.827,4.1851,-0.6978,-0.51,0.74705,-0.196,-1.121
854,2.4909,2.3265,2.1532,0.827,4.1851,0.0015,-0.1023,0.01047,0.006,-1.021
957,2.2848,2.2287,1.9939,0.827,4.1851,-0.0591,-0.0227,0.00401,-0.217,-1.192
1059,2.3602,2.1799,1.9199,0.827,4.1851,-0.0512,-0.1555,0.02681,-0.162,-1.136
1161,2.4808,2.3265,2.1476,0.827,4.1851,-0.0041,-0.0949,0.00903,-0.155,-1.111
1259,2.3753,2.1603,1.9484,0.827,4.1851,-0.0136,-0.1687,0.02864,-0.148,-1.263
1363,2.2395,2.1848,1.9996,0.827,4.1851,-0.0274,0.0,0.00075,-0.059,-1.001
1464,2.4858,2.3216,2.1532,0.827,4.1851,0.0046,-0.1001,0.01003,-0.21,-1.008
1563,2.3401,2.0919,1.846,0.827,4.1851,-0.029,-0.216,0.04752,-0.289,-1.188
1667,2.4808,2.3216,2.1646,0.827,4.1851,0.0109,-0.0902,0.00825,0.091,-0.917
1769,2.3652,2.1212,1.9768,0.827,4.1851,0.0354,-0.1679,0.02945,-0.101,-1.203
1868,2.3602,2.1163,1.8858,0.827,4.1851,-0.02,-0.2051,0.04247,-0.087,-1.085
1973,2.3753,2.1603,1.9427,0.827,4.1851,-0.0173,-0.1712,0.02959,-0.118,-1.131
2068,2.2647,2.175,1.937,0.827,4.1851,-0.0546,-0.0571,0.00624,-0.236,-1.264
2168,2.3602,2.1261,1.8972,0.827,4.1851,-0.0208,-0.1948,0.03839,-0.007,-1.061
2277,2.3702,2.1359,1.9029,0.8563,4.1851,-0.0234,-0.1969,0.03931,-0.169,-1.348
2379,2.3049,2.2287,2.0451,0.827,4.1851,-0.0223,-0.0202,0.00091,-0.196,-1.07
2476,2.3803,2.1701,1.9541,0.827,4.1851,-0.0172,-0.1658,0.02778,-0.161,-1.124
2580,2.4808,2.3216,2.1646,0.827,4.1851,0.0109,-0.0902,0.00825,-0.227,-1.175
2681,2.3652,2.1359,1.8972,0.827,4.1851,-0.0281,-0.1944,0.03858,-0.11,-1.081
2785,2.3049,2.2385,1.9996,0.827,4.1851,-0.0597,-0.0346,0.00477,-0.247,-1.071
2883,2.2747,2.1848,1.9427,0.827,4.1851,-0.0572,-0.0591,0.00677,-0.293,-1.122
2985,2.3803,2.1652,1.9256,0.827,4.1851,-0.0314,-0.1808,0.03368,-0.251,-1.183
3087,2.4858,2.3216,2.1532,0.827,4.1851,0.0046,-0.1001,0.01003,-0.1,-1.134
3187,2.3501,2.1114,1.8972,0.827,4.1851,-0.0105,-0.193,0.03736,-0.142,-1.093
3288,2.2647,2.219,2.011,0.827,4.1851,-0.0438,-0.0009,0.00192,-0.18,-1.237
3390,2.33,2.087,2.0281,0.827,4.1851,0.0902,-0.1299,0.02502,-0.238,-1.237
3492,2.3853,2.1554,1.9142,0.827,4.1851,-0.0295,-0.196,0.0393,-0.106,-1.07
3595,2.4858,2.3167,2.1646,0.827,4.1851,0.016,-0.0978,0.00982,-0.108,-1.062
3693,2.2797,2.219,2.0508,0.827,4.1851,-0.0153,0.0015,0.00024,-0.187,-1.118
3795,2.3702,2.1359,1.937,0.8563,4.1851,-0.0015,-0.1821,0.03315,0.033,-1.061
3899,2.2898,2.2239,2.0337,0.827,4.1851,-0.0284,-0.0131,0.00098,-0.223,-1.002
3996,2.2697,2.2092,1.9655,0.827,4.1851,-0.064,-0.031,0.00505,-0.164,-1.078
4097,2.2647,2.1896,1.9427,0.827,4.1851,-0.0632,-0.0466,0.00617,-0.242,-1.208
4200,2.3149,2.0626,2.0281,0.827,4.1851,0.1077,-0.1285,0.02812,-0.193,-1.095
4304,2.2647,2.2043,2.0281,0.915,4.1851,-0.0206,-0.0016,0.00043,-0.196,-0.987
4404,2.4808,2.3216,2.176,0.827,4.1851,0.0182,-0.0853,0.0076,0.066,-1.121
4506,2.2647,2.1994,1.9484,0.827,4.1851,-0.0677,-0.0388,0.00609,-0.275,-1.043
4606,2.2999,2.2239,2.0394,0.827,4.1851,-0.0228,-0.0205,0.00094,-0.26,-1.074
4710,2.2948,2.175,1.9427,0.827,4.2132,-0.0451,-0.0842,0.00913,-0.198,-1.135
4809,2.3149,2.1701,1.9541,0.827,4.1851,-0.0298,-0.1017,0.01123,-0.307,-1.245
4911,2.4858,2.3216,2.1476,0.7683,4.1851,0.0009,-0.1025,0.01051,-0.018,-1.021
5012,2.2697,2.1799,1.9541,0.827,4.1851,-0.0468,-0.052,0.00488,-0.157,-1.281
5116,2.2395,2.1945,1.9541,0.8563,4.1851,-0.0649,-0.0143,0.00441,0.068,-1.026
5217,2.4808,1.6911,2.1703,0.827,4.1851,0.5421,-0.433,0.48141,-0.193,-1.202
5318,2.3652,2.1408,1.9086,0.827,4.2132,-0.0248,-0.1868,0.03551,-0.233,-1.219
5416,2.4858,0.3763,2.1589,0.827,4.1851,1.6359,-1.1629,4.02839,0.033,-0.987
5520,2.32,2.1114,2.0394,0.827,4.2132,0.0751,-0.1017,0.016,-0.338,-1.122
5618,2.32,2.087,2.0394,0.827,4.1851,0.0956,-0.1151,0.02239,-0.057,-0.962
5720,2.3501,2.1065,1.8573,0.827,4.1851,-0.0321,-0.2129,0.04637,-0.307,-1.14
5823,2.3803,2.1359,1.8972,0.827,4.1851,-0.0251,-0.2092,0.0444,-0.255,-1.113
5925,2.3401,2.0968,1.8858,0.827,4.1851,-0.0075,-0.1961,0.03851,-0.029,-1.006
6027,2.4909,2.3216,2.1589,0.8563,4.1851,0.0092,-0.1025,0.0106,0.076,-0.979
6126,2.4808,2.3216,2.1476,0.827,4.1851,-0.0,-0.0976,0.00952,-0.096,-1.023
6229,2.4808,2.3216,2.1646,0.827,4.1851,0.0109,-0.0902,0.00825,-0.033,-1.045
6327,2.335,2.0968,1.8915,0.827,4.1851,-0.0048,-0.1887,0.03563,-0.187,-1.023
6425,2.3401,2.0968,1.8403,0.8563,4.1851,-0.0368,-0.2158,0.04793,-0.062,-1.056
6529,2.4808,2.3265,2.176,0.827,4.1851,0.0142,-0.0826,0.00702,-0.093,-1.025
6631,2.2948,2.2287,2.0337,0.827,4.1851,-0.0315,-0.0153,0.00123,-0.277,-1.178
6737,2.3602,2.1261,1.9256,0.7977,4.1851,-0.0025,-0.1825,0.03331,0.042,-1.043
6834,2.2898,2.2336,2.0622,0.827,4.1851,-0.0183,0.0046,0.00036,-0.241,-1.32
6938,2.3702,2.1457,1.9142,0.827,4.1851,-0.0243,-0.1866,0.0354,-0.179,-1.126
7041,2.3652,2.1408,1.9142,0.827,4.1851,-0.0212,-0.1843,0.03443,-0.22,-1.144
7143,2.4858,2.3216,2.1532,0.827,4.1851,0.0046,-0.1001,0.01003,-0.157,-1.048
7244,2.3501,2.1114,1.8915,0.827,4.1851,-0.0142,-0.1955,0.03841,-0.099,-1.133
7347,2.4909,2.3216,2.1476,0.827,4.1851,0.0019,-0.1075,0.01155,-0.174,-1.234
7445,2.3702,2.1408,1.9598,0.827,4.1851,0.0091,-0.1695,0.02882,-0.155,-1.042
7548,2.2747,2.219,2.0167,0.827,4.1851,-0.0382,-0.0083,0.00153,-0.325,-1.046
7650,2.4858,2.3216,2.1646,0.827,4.1851,0.0119,-0.0951,0.00919,-0.004,-1.031
7749,2.3853,2.1652,1.9996,0.827,4.1851,0.0172,-0.1537,0.02391,-0.001,-1.03
7851,2.2345,2.1799,1.9541,0.827,4.2693,-0.0536,-0.0174,0.00317,-0.204,-1.241
7953,2.32,2.1017,2.0451,0.827,4.1851,0.087,-0.1046,0.01851,-0.238,-1.038
8054,2.3753,2.1799,1.9427,0.8563,4.1851,-0.0336,-0.1604,0.02687,-0.179,-1.323
8156,2.4909,2.3265,2.1589,0.827,4.1851,0.0051,-0.0998,0.01,0.064,-0.999
8257,2.3753,2.1505,1.9484,0.827,4.1851,-0.0054,-0.174,0.03032,-0.088,-1.206
8355,2.3602,2.1212,1.8687,0.827,4.1851,-0.0351,-0.2098,0.04526,-0.239,-1.377
8456,2.2948,2.2336,2.0224,0.827,4.1851,-0.043,-0.0176,0.00215,-0.152,-0.918
8559,2.2848,2.2141,1.9825,0.827,4.1851,-0.0542,-0.0357,0.00421,-0.155,-1.158
8659,2.4858,2.3216,2.1589,0.827,4.2132,0.0082,-0.0976,0.00959,0.053,-0.965
8761,2.3551,2.1065,1.8801,0.827,4.1851,-0.0164,-0.208,0.04353,0.019,-1.114
