t_ms,VA,VG,V+,pos_a,pos_g,eps_a,eps_g,erreur,vel_a,vel_g
7,2.4758,2.175,1.9199,0.7683,4.4656,-0.0247,-0.2716,0.07439,-0.033,-1.5
9,2.3753,2.219,1.9939,0.7683,4.4936,-0.0334,-0.1168,0.01477,-0.042,-1.735
11,2.5914,2.3314,2.1589,0.7683,4.4656,0.0205,-0.1958,0.03876,0.036,-1.8
44,2.3551,2.219,1.9655,0.7683,4.4656,-0.0556,-0.1094,0.01507,-0.002,-1.728
146,2.4004,2.3167,2.0508,0.7683,4.4656,-0.0737,-0.0633,0.00944,-0.079,-1.734
248,2.5914,2.3363,2.1589,0.7683,4.4656,0.0164,-0.1931,0.03757,0.117,-1.8
351,1.0985,2.0235,2.1589,0.739,4.4656,-0.0109,1.1002,1.21066,-0.075,-1.766
450,2.4406,2.0919,2.0508,0.7683,4.4656,0.1222,-0.2259,0.06594,0.047,-1.755
551,2.5914,2.3363,2.1532,0.739,4.4656,0.0128,-0.1956,0.03842,-0.064,-1.799
653,2.4557,2.131,1.9427,0.739,4.4656,0.0228,-0.2661,0.07134,0.179,-1.793
755,2.4909,2.1652,1.9427,0.7683,4.4656,0.001,-0.2819,0.07947,-0.107,-1.752
856,2.4557,2.1359,1.9086,0.7683,4.4656,-0.0032,-0.2782,0.07743,-0.052,-1.782
960,2.5914,2.3363,2.1589,0.739,4.4656,0.0164,-0.1931,0.03757,-0.06,-1.795
1059,2.5964,2.3363,2.1646,0.7683,4.4656,0.021,-0.1956,0.0387,0.022,-1.781
1161,2.3954,2.2532,2.0281,0.7683,4.4656,-0.0362,-0.103,0.01192,-0.071,-1.734
1264,2.5914,2.3363,2.1589,0.7683,4.4656,0.0164,-0.1931,0.03757,0.158,-1.8
1360,2.3903,2.2385,2.0565,0.7683,4.4656,-0.0066,-0.0938,0.00884,0.011,-1.727
1466,2.4104,2.1017,2.0451,0.7977,4.4656,0.1045,-0.1934,0.04832,0.065,-1.765
1568,2.3903,2.2532,2.0622,0.7683,4.4656,-0.0152,-0.0833,0.00717,-0.093,-1.753
1669,2.4406,2.1017,1.9882,0.739,4.4656,0.0737,-0.2477,0.06677,-0.028,-1.703
1772,2.3702,2.2239,1.9882,0.7683,4.4656,-0.0421,-0.1117,0.01425,0.016,-1.735
1871,2.3853,2.2385,2.011,0.7683,4.4656,-0.0368,-0.1086,0.01315,-0.111,-1.732
1972,2.3451,2.1994,1.9825,0.7683,4.4656,-0.0302,-0.1029,0.0115,-0.041,-1.762
2074,2.5864,2.3314,2.1532,0.739,4.4656,0.0159,-0.1933,0.03763,0.15,-1.8
2177,2.4104,2.1163,2.0565,0.7683,4.4656,0.0995,-0.1804,0.04246,-0.094,-1.754
2280,2.4607,2.1457,1.9939,0.7683,4.4656,0.0445,-0.2408,0.05997,-0.169,-1.752
2378,2.5914,2.3314,2.1532,0.739,4.4656,0.0168,-0.1983,0.03959,0.16,-1.8
2479,2.4255,2.1017,1.9768,0.739,4.4656,0.0635,-0.2378,0.06057,0.026,-1.756
2582,2.4104,2.0772,2.0622,0.7683,4.4656,0.1359,-0.1994,0.05822,-0.061,-1.727
2682,2.3903,2.2385,2.0451,0.7683,4.4656,-0.0139,-0.0987,0.00994,-0.038,-1.735
2783,2.4708,2.1554,2.011,0.7683,4.4656,0.0492,-0.2379,0.05903,-0.099,-1.793
2885,2.5914,2.3314,2.1532,0.7683,4.4656,0.0168,-0.1983,0.03959,0.162,-1.8
2986,2.3451,2.2043,1.9598,0.7683,4.3814,-0.0489,-0.1101,0.01451,-0.058,-1.756
3086,2.3853,2.2434,2.0281,0.739,4.4656,-0.03,-0.0985,0.0106,-0.131,-1.644
3186,2.5864,2.3363,2.1589,0.7683,4.4656,0.0154,-0.1882,0.03566,0.15,-1.8
3288,2.4607,2.131,1.8972,0.6804,4.4375,-0.0055,-0.2908,0.08458,-0.003,-1.798
3390,2.4557,2.1163,1.8687,0.739,4.4656,-0.0125,-0.3062,0.09392,0.134,-1.8
3491,2.4305,2.087,2.0565,0.7683,4.4656,0.128,-0.2162,0.06313,0.061,-1.762
3590,2.3803,2.2385,2.011,0.7683,4.4656,-0.0378,-0.1037,0.01218,-0.131,-1.674
3719,2.5864,2.3363,2.1532,0.7683,4.4656,0.0118,-0.1907,0.03649,0.063,-1.8
3794,1.576,2.1408,1.8175,0.7683,4.4656,-0.2362,0.548,0.35608,-0.221,-1.704
3895,2.4607,2.1457,1.9142,0.7683,4.4656,-0.0068,-0.2754,0.07586,0.041,-1.798
3996,2.4054,2.1896,2.0565,0.7683,4.4656,0.0372,-0.1354,0.01971,-0.024,-1.696
4098,2.4507,2.131,1.8972,0.739,4.4656,-0.0074,-0.2809,0.07897,-0.073,-1.738
4196,2.5914,2.3363,2.1589,0.7683,4.4656,0.0164,-0.1931,0.03757,0.145,-1.8
4298,2.3954,2.2483,2.0281,0.7683,4.4656,-0.0321,-0.1057,0.0122,-0.17,-1.668
4402,2.4758,2.1505,1.8972,0.739,4.4656,-0.0189,-0.2949,0.08731,0.074,-1.788
4504,2.4808,2.1701,1.9541,0.7683,4.4656,0.0023,-0.2644,0.06993,-0.046,-1.793
4603,2.4305,2.1065,2.0565,0.739,4.4656,0.1116,-0.2055,0.05469,-0.071,-1.69
4730,2.335,2.1945,1.9541,0.739,4.4656,-0.0464,-0.108,0.01382,0.135,-1.77
4808,2.3753,2.2239,1.9996,0.739,4.4656,-0.0338,-0.1117,0.01362,-0.115,-1.735
4907,2.4155,2.0723,2.0565,0.7683,4.4936,0.1373,-0.2095,0.06273,0.043,-1.765
5009,2.4708,2.1457,1.937,0.7683,4.4656,0.0098,-0.2753,0.07591,-0.028,-1.757
5110,2.4708,2.175,1.9199,0.7683,4.4656,-0.0257,-0.2667,0.07178,-0.079,-1.769
5211,2.4607,2.1359,1.8858,0.7683,4.4656,-0.0169,-0.293,0.08616,-0.152,-1.765
5310,2.3853,2.2385,1.9939,0.739,4.4656,-0.0478,-0.116,0.01574,-0.019,-1.768
5408,2.4054,2.1114,2.0451,0.7683,4.4656,0.0953,-0.1831,0.04262,-0.053,-1.73
5509,2.4255,2.0919,1.9086,0.739,4.4656,0.0277,-0.2727,0.07516,0.2,-1.8
5611,2.4858,2.1848,1.9484,0.7683,4.4656,-0.0127,-0.2638,0.06975,-0.135,-1.787
5712,2.4708,2.1505,1.9142,0.827,4.4656,-0.0089,-0.2825,0.07991,-0.006,-1.79
5813,2.4758,2.1505,1.9313,0.739,4.4656,0.003,-0.2801,0.07845,0.014,-1.764
5913,2.3803,2.2336,2.0053,0.7683,4.5217,-0.0374,-0.1088,0.01324,-0.094,-1.738
6014,2.4657,2.1408,1.9086,0.7683,4.4656,-0.0054,-0.2854,0.0815,-0.051,-1.797
