t_ms,eps_a_brut,eps_g_brut,eps_a_filtre,eps_g_filtre
1,-0.08089,-0.01733,-0.08089,-0.01733
26,-0.23358,0.00283,-0.23358,0.00283
51,-0.23416,-0.03926,-0.23358,-0.01733
74,-0.3607,-0.33817,-0.23416,-0.03926
99,-0.1644,-0.07929,-0.23416,-0.07929
122,0.01038,-0.15776,-0.1644,-0.15776
147,-0.04955,-0.11488,-0.04955,-0.11488
171,-0.02489,-0.15134,-0.02489,-0.15134
195,-0.01387,-0.15908,-0.02489,-0.15134
220,-0.03378,-0.12977,-0.02489,-0.15134
244,-0.15814,-0.07988,-0.03378,-0.12977
268,-0.19233,-0.08704,-0.15814,-0.08704
292,-0.02115,-0.15889,-0.15814,-0.08704
317,0.0027,-0.15273,-0.02115,-0.15273
340,-0.00813,-0.15988,-0.00813,-0.15889
365,-0.10028,-0.08259,-0.00813,-0.15273
389,-0.15875,-0.08511,-0.10028,-0.08511
413,-0.05299,-0.11719,-0.10028,-0.08511
438,0.01987,-0.16609,-0.05299,-0.11719
461,-0.14994,-0.08471,-0.05299,-0.11719
486,-0.0145,-0.1334,-0.0145,-0.1334
510,-0.0234,-0.20065,-0.0234,-0.1334
534,-0.02228,-0.16431,-0.02228,-0.16431
558,-0.02126,-0.16392,-0.02228,-0.16431
583,-0.29405,-0.1732,-0.02228,-0.16431
607,-0.00976,-0.1655,-0.02126,-0.1655
631,-0.01481,-0.1794,-0.01481,-0.1732
655,-0.01791,-0.13962,-0.01481,-0.1655
679,-0.01637,-0.05637,-0.01637,-0.13962
704,-0.04449,-0.04922,-0.01791,-0.05637
727,-0.0247,-0.16623,-0.0247,-0.05637
752,-0.01514,-0.16359,-0.0247,-0.16359
777,-0.01167,-0.16722,-0.01514,-0.16623
800,-0.01782,-0.1616,-0.01514,-0.16359
825,0.00918,-0.17417,-0.01167,-0.16722
849,-0.05683,-0.11468,-0.01782,-0.1616
873,-0.00968,-0.18543,-0.00968,-0.17417
897,-0.02282,-0.15856,-0.02282,-0.15856
922,-0.02674,-0.16703,-0.02282,-0.16703
946,-0.02059,-0.17265,-0.02282,-0.16703
970,-0.04915,-0.11971,-0.02674,-0.16703
995,-0.0147,-0.17437,-0.02059,-0.17265
1018,-0.00321,-0.17596,-0.0147,-0.17437
1043,1.4187,-1.09604,-0.00321,-0.17596
1067,-0.17573,-0.08664,-0.00321,-0.17596
1091,-0.06229,-0.09284,-0.06229,-0.09284
1116,-0.02574,-0.19158,-0.06229,-0.09284
1140,0.00845,-0.15352,-0.02574,-0.15352
1164,-0.05299,-0.11719,-0.02574,-0.15352
1188,-0.02331,-0.10289,-0.02331,-0.11719
1213,-0.05299,-0.11719,-0.05299,-0.11719
1236,-0.17232,-0.07836,-0.05299,-0.10289
1261,-0.18692,-0.12582,-0.17232,-0.11719
1286,-0.05391,-0.11256,-0.17232,-0.11256
1309,-0.17046,-0.09359,-0.17046,-0.11256
1334,0.01371,-0.16047,-0.05391,-0.11256
1358,-0.09675,-0.1311,-0.09675,-0.1311
1383,-0.04577,-0.07662,-0.04577,-0.1311
1406,-0.29313,-0.17783,-0.09675,-0.1311
1431,-0.00926,-0.10349,-0.04577,-0.10349
1456,-0.17624,-0.08684,-0.17624,-0.10349
1479,-0.00823,-0.16491,-0.00926,-0.10349
1504,-0.01721,-0.15637,-0.01721,-0.15637
1528,-0.02,-0.16147,-0.01721,-0.16147
1552,-0.02846,-0.15273,-0.02,-0.15637
1576,-0.13298,-0.16585,-0.02846,-0.16147
1601,-0.05299,-0.11719,-0.05299,-0.15273
1624,-0.00793,-0.17477,-0.05299,-0.16585
1649,-0.0535,-0.11739,-0.05299,-0.11739
1674,-0.16622,-0.07002,-0.0535,-0.11739
1697,-0.16703,-0.09127,-0.16622,-0.09127
1722,-0.04824,-0.12434,-0.16622,-0.09127
1746,0.01028,-0.16279,-0.04824,-0.12434
1771,-0.01812,-0.15174,-0.01812,-0.15174
1794,-0.05553,-0.18206,-0.01812,-0.16279
1819,-0.1725,-0.09438,-0.05553,-0.15174
1844,-0.04955,-0.11488,-0.05553,-0.11488
1867,0.00643,-0.16027,-0.04955,-0.11488
1892,-0.03607,-0.10581,-0.03607,-0.11488
1916,-0.04297,-0.13129,-0.03607,-0.13129
1940,-0.01026,0.15231,-0.03607,-0.10581
1964,-0.05391,-0.11256,-0.04297,-0.11256
1989,-0.04757,0.0114,-0.04757,0.0114
2013,-0.18725,-0.07909,-0.05391,-0.07909
2037,-0.04187,-0.1199,-0.04757,-0.07909
2062,-0.16756,-0.08551,-0.16756,-0.08551
2086,-0.1525,-0.16837,-0.1525,-0.1199
2110,-0.02422,-0.16008,-0.1525,-0.16008
2134,-0.02712,-0.13724,-0.02712,-0.16008
2159,-0.16773,-0.07658,-0.02712,-0.13724
2183,-0.01178,-0.17225,-0.02712,-0.13724
2207,-0.04955,-0.11488,-0.04955,-0.11488
2232,-0.14852,-0.08915,-0.04955,-0.11488
2255,-0.0311,-0.1029,-0.04955,-0.1029
2280,-0.05391,-0.11256,-0.05391,-0.1029
2304,-0.01742,-0.16643,-0.0311,-0.11256
2328,-0.16029,-0.0548,-0.05391,-0.11256
2353,0.00208,-0.15796,-0.01742,-0.15796
2377,-0.02189,-0.10733,-0.02189,-0.10733
2401,-0.01443,-0.17828,-0.01443,-0.15796
2425,-0.0244,-0.1761,-0.02189,-0.1761
2450,-0.21087,-0.05024,-0.0244,-0.1761
2474,-0.04955,-0.11488,-0.04955,-0.11488
2498,0.00936,-0.15815,-0.04955,-0.11488
2523,-0.03422,-0.09218,-0.03422,-0.11488
2547,-0.01664,-0.17014,-0.01664,-0.15815
2571,-0.16224,-0.13528,-0.03422,-0.13528
2595,0.0027,-0.15273,-0.01664,-0.15273
2620,-0.04541,-0.04459,-0.04541,-0.13528
2643,-0.00987,-0.17053,-0.00987,-0.15273
2668,-0.01008,-0.18059,-0.01008,-0.17053
2693,0.00968,-0.14306,-0.00987,-0.17053
2716,-0.04955,-0.11488,-0.01008,-0.14306
2741,-0.07159,0.07394,-0.04955,-0.11488
2765,-0.05287,-0.06041,-0.05287,-0.06041
2789,-0.04955,-0.11488,-0.05287,-0.06041
2813,-0.11458,0.79104,-0.05287,-0.06041
2838,1.34498,-1.02761,-0.04955,-0.11488
2861,-0.01006,-0.15564,-0.01006,-0.15564
2886,-0.10619,-0.044,-0.01006,-0.15564
2911,-0.02884,-0.15386,-0.02884,-0.15386
2934,-0.02564,-0.15564,-0.02884,-0.15386
2959,-0.05047,-0.11024,-0.02884,-0.15386
2983,-0.02196,-0.14922,-0.02564,-0.14922
3008,-0.05003,-0.15605,-0.05003,-0.14922
3031,-0.01258,-0.16259,-0.02196,-0.15605
3056,-0.05543,-0.14612,-0.05003,-0.15605
3081,0.02056,-0.14988,-0.01258,-0.14988
3104,0.04805,-0.21811,0.02056,-0.14988
3129,-0.02373,-0.15392,0.02056,-0.15392
3153,-0.04955,-0.11488,-0.02373,-0.15392
3177,-0.00439,-0.16742,-0.02373,-0.15392
3201,-0.15725,-0.07856,-0.04955,-0.11488
3226,-0.05482,-0.10793,-0.05482,-0.10793
3250,0.68421,-0.59513,-0.05482,-0.10793
3274,-0.04955,-0.11488,-0.04955,-0.11488
3299,-0.01514,-0.16359,-0.01514,-0.16359
3322,-0.15631,-0.08915,-0.04955,-0.11488
3347,-0.03018,-0.16935,-0.03018,-0.16359
3371,-0.18454,-0.08704,-0.15631,-0.08915
3396,-0.00871,-0.20197,-0.03018,-0.16935
3420,0.00783,-0.15875,-0.00871,-0.15875
3444,-0.06556,0.00948,-0.00871,-0.15875
3469,-0.06159,-0.10753,-0.06159,-0.10753
3492,-0.02561,-0.1616,-0.06159,-0.10753
3517,-0.02782,-0.15346,-0.02782,-0.15346
3541,-0.40859,-0.39741,-0.02782,-0.1616
3565,-0.01592,-0.15988,-0.02782,-0.15988
3590,-0.01847,-0.16087,-0.01847,-0.16087
3614,-0.09497,-0.04169,-0.01847,-0.15988
3638,-0.03647,-0.13189,-0.03647,-0.13189
3662,-0.01116,-0.16703,-0.03647,-0.13189
3687,-0.10099,-0.12376,-0.03647,-0.13189
3710,-0.04571,-0.11739,-0.04571,-0.12376
3735,-0.06475,-0.00018,-0.06475,-0.11739
3760,-0.17777,-0.08743,-0.06475,-0.08743
3783,-0.05391,-0.11256,-0.06475,-0.08743
3808,-0.025,-0.15637,-0.05391,-0.11256
3832,-0.17807,-0.07757,-0.05391,-0.11256
3857,-0.18424,-0.0969,-0.17807,-0.0969
3880,-0.17087,-0.08875,-0.17807,-0.08875
3905,-0.16973,-0.11424,-0.17087,-0.0969
3929,-0.06053,-0.17901,-0.16973,-0.11424
3953,-0.0419,-0.00038,-0.06053,-0.11424
3978,-0.02217,-0.15928,-0.0419,-0.15928
4002,-0.16552,-0.08472,-0.0419,-0.08472
4026,-0.06199,-0.1027,-0.06199,-0.1027
4050,-0.18494,-0.08221,-0.16552,-0.08472
4075,0.01368,-0.15451,-0.06199,-0.1027
4098,-0.06452,-0.10965,-0.06452,-0.10965
4123,-0.21018,-0.14965,-0.06452,-0.14965
4148,-0.05299,-0.11719,-0.06452,-0.11719
4171,-0.26748,-0.13186,-0.21018,-0.13186
4196,-0.03614,-0.1477,-0.05299,-0.13186
4220,-0.02534,-0.16551,-0.03614,-0.1477
4245,-0.01105,-0.162,-0.02534,-0.162
4268,-0.03763,-0.09634,-0.02534,-0.162
4293,0.00957,-0.14809,-0.01105,-0.14809
4318,-0.02612,-0.1618,-0.02612,-0.14809
4341,-0.05391,-0.11256,-0.02612,-0.14809
4366,-0.19767,-0.12198,-0.05391,-0.12198
4390,0.00015,-0.15372,-0.05391,-0.12198
4414,-0.023,-0.17457,-0.023,-0.15372
4438,-0.03483,-0.15717,-0.023,-0.15717
4463,-0.15378,-0.0822,-0.03483,-0.15717
4487,-0.17737,-0.09226,-0.15378,-0.09226
4511,-0.05299,-0.11719,-0.15378,-0.09226
4536,-0.04955,-0.11488,-0.05299,-0.11488
4559,0.0027,-0.15273,-0.04955,-0.11719
4584,-0.01833,-0.1618,-0.01833,-0.15273
4608,-0.09967,-0.13322,-0.01833,-0.15273
4632,-0.02008,-0.17245,-0.02008,-0.1618
4657,-0.05299,-0.11719,-0.05299,-0.13322
4681,-0.07829,-0.0303,-0.05299,-0.11719
4705,-0.09771,-0.02779,-0.07829,-0.0303
4729,-0.16815,-0.0967,-0.09771,-0.0303
4754,-0.01059,-0.18079,-0.09771,-0.0967
4777,-0.04429,-0.12182,-0.04429,-0.12182
4802,-0.00847,-0.16901,-0.01059,-0.16901
4827,-0.02545,-0.17054,-0.02545,-0.16901
4851,-0.05796,-0.00654,-0.02545,-0.16901
4875,-0.02196,-0.14922,-0.02545,-0.14922
4899,-0.03262,-0.16531,-0.03262,-0.14922
4924,-0.13759,-0.07697,-0.03262,-0.14922
4947,-0.01742,-0.16643,-0.03262,-0.16531
4972,-0.0427,0.00928,-0.0427,-0.07697
4997,-0.04175,-0.06312,-0.04175,-0.06312
5020,-0.01089,-0.17093,-0.04175,-0.06312
5045,-0.21052,-0.07407,-0.04175,-0.07407
5069,-0.14157,-0.15824,-0.14157,-0.15824
5093,-0.04612,-0.11256,-0.14157,-0.11256
5117,-0.06677,-0.00693,-0.06677,-0.11256
5142,-0.07181,-0.02083,-0.06677,-0.02083
5165,-0.12537,-0.0683,-0.07181,-0.02083
5190,-0.15203,-0.10245,-0.12537,-0.0683
5215,0.00453,-0.1929,-0.12537,-0.10245
5238,-0.01973,-0.16332,-0.01973,-0.16332
5263,-0.01613,-0.16994,-0.01613,-0.16994
5287,-0.02309,-0.15465,-0.01973,-0.16332
5312,-0.14651,-0.05149,-0.02309,-0.15465
5335,-0.06452,-0.10965,-0.06452,-0.10965
5360,-0.15188,-0.08048,-0.14651,-0.08048
5385,-0.00998,-0.17556,-0.06452,-0.10965
5408,-0.04955,-0.11488,-0.04955,-0.11488
5433,0.01124,-0.15048,-0.00998,-0.15048
5457,-0.04915,-0.11971,-0.04915,-0.11971
5481,-0.16187,-0.10325,-0.04915,-0.11971
5505,0.00845,-0.15352,-0.04915,-0.11971
5530,-0.04571,-0.11739,-0.04571,-0.11739
5555,-0.01844,-0.16683,-0.01844,-0.15352
5578,-0.01857,-0.19681,-0.01857,-0.16683
5603,-0.1656,-0.0957,-0.01857,-0.16683
5627,-0.02534,-0.16551,-0.02534,-0.16551
5651,-0.17783,-0.07347,-0.1656,-0.0957
5675,-0.01804,-0.17166,-0.02534,-0.16551
5700,-0.0111,-0.18099,-0.01804,-0.17166
5724,-0.05501,-0.09304,-0.01804,-0.17166
5748,-0.17584,-0.09167,-0.05501,-0.09304
5773,-0.06331,-0.12414,-0.06331,-0.09304
5796,0.00745,-0.15987,-0.06331,-0.12414
5821,-0.015,-0.16451,-0.015,-0.15987
5845,-0.03249,-0.16623,-0.015,-0.16451
5869,-0.03542,-0.13744,-0.03249,-0.16451
5894,-0.16257,-0.08856,-0.03542,-0.13744
5918,-0.16114,-0.09299,-0.16114,-0.09299
5942,-0.03495,-0.10038,-0.16114,-0.09299
5966,-0.04955,-0.11488,-0.04955,-0.10038
5991,-0.01078,-0.1659,-0.03495,-0.11488
6015,-0.01836,-0.15584,-0.01836,-0.15584
6039,-0.05047,-0.11024,-0.01836,-0.15584
6064,-0.03289,-0.1614,-0.03289,-0.15584
6088,-0.05391,-0.11256,-0.05047,-0.11256
6112,-0.0177,-0.21839,-0.03289,-0.1614
6136,-0.05451,-0.03513,-0.05391,-0.11256
6161,-0.11266,-0.05347,-0.05451,-0.05347
6184,-0.01879,-0.17596,-0.05451,-0.05347
6209,-0.02075,-0.16372,-0.02075,-0.16372
6233,-0.025,-0.15637,-0.02075,-0.16372
6257,-0.12628,-0.06161,-0.025,-0.15637
6282,-0.04842,-0.14036,-0.04842,-0.14036
6306,-0.01409,-0.16914,-0.04842,-0.14036
6330,-0.1724,-0.05639,-0.04842,-0.14036
6354,-0.18221,-0.06519,-0.1724,-0.06519
6379,-0.0233,-0.16471,-0.1724,-0.06519
6403,0.01291,-0.15081,-0.0233,-0.15081
6427,-0.02408,-0.161,-0.0233,-0.161
6452,-0.17522,-0.08644,-0.02408,-0.15081
6476,-0.18564,-0.09842,-0.17522,-0.09842
6500,-0.03738,-0.15816,-0.17522,-0.09842
6524,-0.04663,-0.11276,-0.04663,-0.11276
6549,-0.08586,-0.05115,-0.04663,-0.11276
6572,-0.14943,-0.08452,-0.08586,-0.08452
6597,-0.04915,-0.11971,-0.08586,-0.08452
6622,-0.05848,-0.0894,-0.05848,-0.0894
6645,-0.00467,0.42056,-0.04915,-0.0894
6670,-0.17584,-0.09167,-0.05848,-0.0894
6694,-0.03585,-0.15757,-0.03585,-0.09167
6718,-0.02996,-0.15929,-0.03585,-0.15757
6742,-0.06,-0.00733,-0.03585,-0.15757
6767,-0.04955,-0.11488,-0.04955,-0.11488
6791,-0.01726,-0.17537,-0.04955,-0.11488
6815,0.0031,-0.15756,-0.01726,-0.15756
6840,-0.0535,-0.11739,-0.01726,-0.15756
6863,-0.16399,-0.08412,-0.0535,-0.11739
