position_mm,f0_MHz,demi_fenetre_MHz,L_nH,C_pF,eps_r,R2
10.0,37.98,2.0,37.010828585533254,472.6559886925136,23.631766118959728,0.9988196058102358
15.0,40.04,2.0,34.8820859737479,451.1699739629219,22.557512354984777,0.9987282799510157
20.0,42.54,2.0,32.3470914157273,430.83333012095767,21.540724622648373,0.998526916218029
20.6,43.02,2.0,31.83644162256171,428.1894127862841,21.408534536019605,0.9984651030174851
25.0,45.52,2.0,29.27703398006035,415.48370052073415,20.773276699839712,0.9981432696091044
30.0,49.22,2.0,25.4645615715026,408.4666224557248,20.42243813725321,0.9973669186661812
35.0,53.74,2.0,20.82333683417868,418.48466689203366,20.92331845772284,0.9953280258714966
37.5,56.44,2.0,17.961982600104978,439.3893979779064,21.968509310308175,0.992680178939173
40.0,59.56,2.0,14.518872761248431,487.22272209163236,24.36007094327278,0.9863253569861669
44.75,67.34,15.0,23.521484052625933,239.96485381753016,11.997718082178723,0.9360617961369972
45.0,67.78,15.0,23.952173518097197,234.55910187827962,11.727442303215543,0.9434770693395178
45.25,68.28,15.0,24.48944337350538,228.14261323804666,11.406631898865431,0.9518200890709377
50.0,10.0,2.0,112.8020589537528,21835.942158754962,1091.7493704253643,0.9999322714615736
55.0,10.0,2.0,109.20231406333298,27698.433309744552,1384.8611114569264,0.999950528180523
58.0,10.0,2.0,107.7226998163423,31094.59820511211,1554.6619315645055,0.9999536441872879
