position_mm,f0_MHz,demi_fenetre_MHz,L_nH,C_pF,eps_r,R2
10.0,38.05,2.0,54.44317839116431,320.56403285267726,16.027500828839024,0.9994619952937536
15.0,40.0,2.0,54.52454178293685,287.71589694203,14.385165845563876,0.9995239175262637
20.0,42.55,2.0,53.956708123333776,257.8348265320886,12.89117765075591,0.9996207137765587
20.6,42.85,2.0,53.96696306641688,253.89916662623148,12.694403259562302,0.999627249328396
25.0,45.55,2.0,53.472020551822894,226.99576344652468,11.349291916520562,0.9997012935075938
30.0,49.45,2.0,52.649202488612126,195.7961626253135,9.789380083706744,0.9997775228440152
35.0,54.4,2.0,51.64687562124683,165.03337927776772,8.251308169610322,0.9998462685614752
37.5,57.4,2.0,51.10393871110519,149.47151130252132,7.473248792043872,0.9998733290393815
40.0,61.0,2.0,50.317462531484296,134.157059338182,6.707559674124434,0.9998973968134209
44.75,70.0,2.0,49.40837246793723,102.5768512656687,5.128618310825171,0.9999829275559737
