fichier,Ca_mm,Cg_mm,freq_MHz_reelle,|S_gen|_mes_dB,|S_gen|_mod_dB,ecart_gen_dB,|S_ant|_mes_dB,|S_ant|_mod_dB,ecart_ant_dB,Gamma2_G_mesure
CA_10p00_CG10p00.s2p,10.0,10.0,37.9,-0.019020377958823265,-3.476055583945326e-08,-0.019020343198267425,-0.0148052924911652,-3.4760560661090615e-08,-0.01480525773060454,0.995629972604445
CA_10p00_CG15p00.s2p,10.0,15.0,37.9,-0.019785622249777066,-7.849530284886425e-06,-0.01977777271949218,-0.01436830404157332,-7.84953028777941e-06,-0.01436045451128554,0.9954545540662884
CA_10p00_CG20p00.s2p,10.0,20.0,37.9,-0.02209302102530159,-8.871470540278704e-05,-0.022004306319898803,-0.015536559232917708,-8.871470540375138e-05,-0.015447844527513957,0.9949258113236026
CA_10p00_CG25p00.s2p,10.0,25.0,37.9,-0.03821309873638157,-0.0016004365989669219,-0.036612662137414646,-0.01821543190308885,-0.0016004365989023,-0.01661499530418655,0.9912397058055621
CA_10p00_CG30p00.s2p,10.0,30.0,37.9,-0.08653562690378398,-0.00070410719671882,-0.08583151970706517,-0.02704432916344183,-0.000704107196723642,-0.026340221966718185,0.9802716376475368
CA_10p00_CG35p00.s2p,10.0,35.0,37.9,-0.14718521663638381,-0.00025130142260371336,-0.1469339152137801,-0.040408339699917806,-0.00025130142261142816,-0.04015703827730638,0.9666772063894662
CA_10p00_CG40p00.s2p,10.0,40.0,37.9,-0.06233092079129664,-0.000151909409041028,-0.06217901138225561,-0.02651303086024383,-0.00015190940904584972,-0.02636112145119798,0.98575027731097
CA_10p00_CG45p00.s2p,10.0,45.0,37.9,-0.032882997598838164,-0.0001124610687669898,-0.03277053653007118,-0.021604946349058206,-0.00011246106877084718,-0.021492485280287358,0.992457002270709
CA_10p00_CG48p00.s2p,10.0,48.0,37.9,-0.02880345699587246,-9.883077058134002e-05,-0.02870462622529112,-0.02049235557657184,-9.883077058326869e-05,-0.02039352480598857,0.9933897036991342
CA_15p00_CG10p00.s2p,15.0,10.0,37.9,-0.019401570709978923,-7.849530285850752e-06,-0.019393721179693072,-0.018096868058745764,-7.849530285850752e-06,-0.018089018528459913,0.995542587134768
CA_15p00_CG15p00.s2p,15.0,15.0,37.9,-0.022286822401516946,-0.0018723725271927068,-0.02041444987432424,-0.017152611507704328,-0.0018723725271927068,-0.015280238980511621,0.9948814143309237
CA_15p00_CG20p00.s2p,15.0,20.0,37.9,-0.02983164194979307,-0.024380492201781102,-0.005451149748011967,-0.022473683733314327,-0.02438049220178207,0.0019068084684677432,0.9931545481784393
CA_15p00_CG25p00.s2p,15.0,25.0,37.9,-0.058666609107296395,-0.5182315672634225,0.4595649581561261,-0.03578270205791616,-0.5182315672633662,0.48244886520545,0.986582344185186
CA_15p00_CG30p00.s2p,15.0,30.0,37.9,-0.17709130901454528,-0.10311725271503583,-0.07397405629950946,-0.10602528942950468,-0.10311725271503973,-0.0029080367144649483,0.9600434061300867
CA_15p00_CG35p00.s2p,15.0,35.0,37.9,-0.3025309323549429,-0.04228788494493471,-0.26024304741000814,-0.19544691038870954,-0.042287884944937626,-0.1531590254437719,0.9327105878357449
CA_15p00_CG40p00.s2p,15.0,40.0,37.9,-0.12828150351048093,-0.02706206343845801,-0.10121944007202291,-0.09500655205496152,-0.027062063438458975,-0.06794448861650254,0.9708940725153647
CA_15p00_CG45p00.s2p,15.0,45.0,37.9,-0.06757712238493793,-0.02063534480792158,-0.046941777577016355,-0.05771943079518362,-0.02063534480792448,-0.03708408598725914,0.9845602270936703
CA_15p00_CG48p00.s2p,15.0,48.0,37.9,-0.05387404650660317,-0.018347495087696352,-0.035526551418906815,-0.04694430662731938,-0.018347495087698288,-0.028596811539621094,0.9876716666807299
CA_20p00_CG10p00.s2p,20.0,10.0,37.9,-0.02107295425111861,-8.871470540278704e-05,-0.02098423954571582,-0.021434866752080877,-8.871470539796535e-05,-0.02134615204668291,0.9951595260040388
CA_20p00_CG15p00.s2p,20.0,15.0,37.9,-0.025163828429272193,-0.02438049220178884,-0.0007833362274833541,-0.02376115611222792,-0.02438049220178207,0.0006193360895541504,0.9942225682970652
CA_20p00_CG20p00.s2p,20.0,20.0,37.9,-0.042856616935233904,-0.48843980520157504,0.44558318826634113,-0.040476892467981196,-0.48843980520157093,0.44796291273358974,0.9901804292129057
CA_20p00_CG25p00.s2p,20.0,25.0,37.9,-0.11297994758866384,-2.830387598773034,2.71740765118437,-0.09249106285319189,-2.8303875987730374,2.7378965359198455,0.9743208699617443
CA_20p00_CG30p00.s2p,20.0,30.0,37.9,-0.46373087948090413,-0.5039629832116334,0.04023210373072922,-0.38777546941175023,-0.5039629832116386,0.11618751379988834,0.8987251848857909
CA_20p00_CG35p00.s2p,20.0,35.0,37.9,-0.8171724295515569,-0.2634838262807578,-0.553688603270799,-0.6980916108542891,-0.2634838262807617,-0.43460778457352733,0.8284813893205767
CA_20p00_CG40p00.s2p,20.0,40.0,37.9,-0.32580838314543253,-0.18645282103081126,-0.13935556211462127,-0.2939249116106081,-0.18645282103081323,-0.10747209057979484,0.9277247900547119
CA_20p00_CG45p00.s2p,20.0,45.0,37.9,-0.17906899114273855,-0.15006182009227503,-0.02900717105046352,-0.16744290085787455,-0.15006182009227503,-0.01738108076559952,0.9596063228773586
CA_20p00_CG48p00.s2p,20.0,48.0,37.9,-0.13869883695184393,-0.13636429072964962,-0.0023345462221943114,-0.129404749332161,-0.1363642907296516,0.006959541397490582,0.968567999510089
CA_25p00_CG10p00.s2p,25.0,10.0,37.9,-0.024219693514004343,-0.0016004365989013354,-0.022619256915103008,-0.03097621267174166,-0.0016004365989341284,-0.02937577607280753,0.9944387309053945
CA_25p00_CG15p00.s2p,25.0,15.0,37.9,-0.041125427441104756,-0.5182315672633702,0.4771061398222654,-0.045899162174732666,-0.5182315672633713,0.4723324050886386,0.9905752147166006
CA_25p00_CG20p00.s2p,25.0,20.0,37.9,-0.10297919312805617,-2.8303875987730414,2.727408405644985,-0.10904740870144995,-2.8303875987730214,2.7213401900715715,0.976567081181443
CA_25p00_CG25p00.s2p,25.0,25.0,37.9,-0.3870802930796102,-2.045044904080868,1.6579646110012576,-0.37752712730463295,-2.0450449040808762,1.6675177767762432,0.9147279948732328
CA_25p00_CG30p00.s2p,25.0,30.0,37.9,-2.0584250400945256,-1.4283138649732199,-0.6301111751213058,-1.9593202259059304,-1.428313864973221,-0.5310063609327094,0.6225260019986125
CA_25p00_CG35p00.s2p,25.0,35.0,37.9,-2.1762322453763256,-1.1431078750503967,-1.033124370325929,-2.063902933190291,-1.1431078750504033,-0.9207950581398876,0.605866270680683
CA_25p00_CG40p00.s2p,25.0,40.0,37.9,-0.8566867400331484,-0.9881915027714447,0.13150476273829637,-0.827356914935655,-0.9881915027714511,0.16083458783579607,0.8209776344856269
CA_25p00_CG45p00.s2p,25.0,45.0,37.9,-0.4785663184933209,-0.8926398007539569,0.414073482260636,-0.47001180415311616,-0.8926398007539654,0.42262799660084927,0.8956603898007529
CA_25p00_CG48p00.s2p,25.0,48.0,37.9,-0.3821753958175301,-0.8513228257071392,0.46914742988960917,-0.3772419083831092,-0.8513228257071468,0.47408091732403757,0.9157616670877085
CA_30p00_CG10p00.s2p,30.0,10.0,37.9,-0.03075596338808772,-0.0007041071967265352,-0.030051856191361182,-0.06468202737185803,-0.0007041071967178554,-0.06397792017514017,0.992943194731425
CA_30p00_CG15p00.s2p,30.0,15.0,37.9,-0.09724782721676695,-0.10311725271504266,0.00586942549827571,-0.13543223392216483,-0.10311725271503583,-0.032314981207129,0.9778567033958837
CA_30p00_CG20p00.s2p,30.0,20.0,37.9,-0.38163565988993564,-0.5039629832116457,0.12232732332171004,-0.42846313003286585,-0.5039629832116416,0.07549985317877572,0.9158754839120791
CA_30p00_CG25p00.s2p,30.0,25.0,37.9,-1.8254267472313102,-1.4283138649732248,-0.3971128822580854,-1.8977033383668145,-1.4283138649732279,-0.4693894733935866,0.6568365711108799
CA_30p00_CG30p00.s2p,30.0,30.0,37.9,-12.654851486033522,-2.980444515153939,-9.674406970879582,-12.60275094875107,-2.9804445151539345,-9.622306433597135,0.05426438075874216
CA_30p00_CG35p00.s2p,30.0,35.0,37.9,-5.484189207573299,-4.777880634034179,-0.7063085735391201,-5.387399559276461,-4.777880634034176,-0.609518925242285,0.2828662149941081
CA_30p00_CG40p00.s2p,30.0,40.0,37.9,-2.322091151383378,-5.999001784907126,3.6769106335237476,-2.303293178106407,-5.9990017849071195,3.6957086068007126,0.5858560037589343
CA_30p00_CG45p00.s2p,30.0,45.0,37.9,-1.4136988189142108,-6.2687419145602306,4.855043095646019,-1.4135103582145692,-6.268741914560203,4.855231556345634,0.7221544938042692
CA_30p00_CG48p00.s2p,30.0,48.0,37.9,-1.1497465555999844,-6.121762109121544,4.97201555352156,-1.154729170792703,-6.12176210912152,4.967032938328817,0.7674062721429245
CA_35p00_CG10p00.s2p,35.0,10.0,37.9,-0.046956698185227456,-0.0002513014226143213,-0.046705396762613136,-0.14524525277728131,-0.00025130142261142816,-0.1449939513546699,0.9892460621902367
CA_35p00_CG15p00.s2p,35.0,15.0,37.9,-0.21338423177310661,-0.04228788494493568,-0.17109634682817093,-0.3146154146692001,-0.04228788494493956,-0.27232752972426055,0.9520539885699185
CA_35p00_CG20p00.s2p,35.0,20.0,37.9,-0.7788198604142813,-0.2634838262807687,-0.5153360341335126,-0.8907605687260431,-0.2634838262807667,-0.6272767424452764,0.835830113494219
CA_35p00_CG25p00.s2p,35.0,25.0,37.9,-2.4247569802043594,-1.1431078750504033,-1.281649105153956,-2.544238001584342,-1.1431078750504022,-1.4011301265339398,0.5721689708307118
CA_35p00_CG30p00.s2p,35.0,30.0,37.9,-6.1899907887347,-4.777880634034186,-1.412110154700514,-6.301729668350932,-4.777880634034178,-1.5238490343167541,0.24043678995990397
CA_35p00_CG35p00.s2p,35.0,35.0,37.9,-8.573988647196693,-30.79757290734396,22.223584260147266,-8.592873596079027,-30.79757290734374,22.20469931126471,0.13886766570064626
CA_35p00_CG40p00.s2p,35.0,40.0,37.9,-6.261602288891854,-8.077530870023663,1.8159285811318089,-6.279489016002393,-8.077530870023665,1.798041854021272,0.23650469745320724
