horodatage,temps_s,AIN0,AIN1,AIN2,AIN3
2026-06-15 13:37:47.252693,0.006,1.422085,1.415299,1.416615,1.418524
2026-06-15 13:37:47.756915,0.510,1.422085,1.415299,1.416615,1.413342
2026-06-15 13:37:48.260389,1.014,1.422085,1.415299,1.416615,1.418524
2026-06-15 13:37:48.764060,1.517,1.422085,1.415299,1.416615,1.418524
2026-06-15 13:37:49.267905,2.021,1.422085,1.415299,1.416615,1.413342
2026-06-15 13:37:49.772933,2.526,1.422085,1.415299,1.416615,1.413342
2026-06-15 13:37:50.277345,3.031,1.422085,1.415299,1.416615,1.413342
2026-06-15 13:37:50.782515,3.536,1.422085,1.415299,1.416615,1.413342
2026-06-15 13:37:51.290164,4.043,1.422085,1.415299,1.416615,1.418524
2026-06-15 13:37:51.795414,4.549,1.422085,1.415299,1.416615,1.418524
2026-06-15 13:37:52.300065,5.053,1.422085,1.415299,1.416615,1.418524
2026-06-15 13:37:52.813542,5.567,1.422085,1.415299,1.416615,1.418524
2026-06-15 13:37:53.318389,6.072,1.422085,1.415299,1.416615,1.418524
2026-06-15 13:37:53.822949,6.576,1.422085,1.415299,1.416615,1.418524
